IdLandkreis,Meldedatum,AnzahlFall,AnzahlGenesen,AnzahlFall>59,Landkreis,Bevölkerung gesamt,Ü65%,Ausländer%,Bevölkerungsdichte EW/km²,Temperatur,BIPK,Bgast,Bgesund,afd21,GoogleCorona,GoogleUrlaub,7dInzidenz,7dInzidenzFall>59,AnzahlFall>59%,AnzahlGenesenLandkreis,AnzahlGenesenLandkreis%,leavehome,dist,trvl,gastr,mskÖPVN,mskÖFF,shppngTW,shppngGANZ,hcutTW,hcutGANZ,ess_shpsTW,schoolTW,daycareTW,1to5friends,churchTW,churchGANZ,personen_erst_kumulativ,personen_voll_kumulativ,7dInzidenzFUTURE,AnzahlFallFUTURE,BgastP,BgesundP,Gsaison
8237,2020-09-19,10,10,2,LK Freudenstadt,118599,0.21350095700638286,0.12494303893605171,136,17.36,39.755815816322226,2761,5996,7.018,23,43,8.431774298265584,1.686354859653117,0.2,612,0.005160245870538537,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0.0,0.0,5.05906457895935,6,0.023280128837511276,0.05055691869240044,0
8237,2020-09-26,6,6,0,LK Freudenstadt,118599,0.21350095700638286,0.12494303893605171,136,17.36,39.755815816322226,2761,5996,7.018,23,33,5.05906457895935,0.0,0.0,618,0.005210836516328131,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0.0,0.0,5.902242008785909,7,0.023280128837511276,0.05055691869240044,0
8237,2020-10-03,7,7,1,LK Freudenstadt,118599,0.21350095700638286,0.12494303893605171,136,11.53,39.755815816322226,2761,5996,7.018,31,32,5.902242008785909,0.8431774298265585,0.14285714285714285,625,0.00526985893641599,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0.0,0.0,10.96130658774526,13,0.023280128837511276,0.05055691869240044,1
8237,2020-10-10,13,13,4,LK Freudenstadt,118599,0.21350095700638286,0.12494303893605171,136,11.53,39.755815816322226,2761,5996,7.018,50,28,10.96130658774526,3.372709719306234,0.3076923076923077,638,0.005379472002293443,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0.0,0.0,35.41345205271545,42,0.023280128837511276,0.05055691869240044,1
8237,2020-10-17,42,42,11,LK Freudenstadt,118599,0.21350095700638286,0.12494303893605171,136,11.53,39.755815816322226,2761,5996,7.018,55,25,35.41345205271545,9.274951728092143,0.2619047619047619,680,0.005733606522820597,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0.0,0.0,76.7291461142168,91,0.023280128837511276,0.05055691869240044,1
8237,2020-10-24,91,91,15,LK Freudenstadt,118599,0.21350095700638286,0.12494303893605171,136,11.53,39.755815816322226,2761,5996,7.018,57,22,76.7291461142168,12.647661447398376,0.16483516483516483,771,0.006500897983962766,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0.0,0.0,89.37680756161518,106,0.023280128837511276,0.05055691869240044,1
8237,2020-10-31,106,106,18,LK Freudenstadt,118599,0.21350095700638286,0.12494303893605171,136,11.53,39.755815816322226,2761,5996,7.018,34,16,89.37680756161518,15.177193736878051,0.16981132075471697,877,0.007394666059578918,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0.0,0.0,111.29942073710572,132,0.023280128837511276,0.05055691869240044,1
8237,2020-11-07,132,130,20,LK Freudenstadt,118599,0.21350095700638286,0.12494303893605171,136,6.95,39.755815816322226,2761,5996,7.018,31,19,111.29942073710572,16.863548596531167,0.15151515151515152,1007,0.008490796718353443,0,1,1,1,0,1,0,0,1,0,0,0,0,1,1,0,0.0,0.0,137.437921061729,163,0.023280128837511276,0.05055691869240044,1
8237,2020-11-14,163,160,40,LK Freudenstadt,118599,0.21350095700638286,0.12494303893605171,136,6.95,39.755815816322226,2761,5996,7.018,31,18,137.437921061729,33.727097193062335,0.24539877300613497,1167,0.009839880606075936,0,1,1,1,0,1,0,0,1,0,0,0,0,1,1,0,0.0,0.0,122.26072732485096,145,0.023280128837511276,0.05055691869240044,1
8237,2020-11-21,145,141,32,LK Freudenstadt,118599,0.21350095700638286,0.12494303893605171,136,6.95,39.755815816322226,2761,5996,7.018,32,19,122.26072732485096,26.981677754449873,0.2206896551724138,1308,0.011028760782131384,0,1,1,1,0,1,0,0,1,0,0,0,0,1,1,0,0.0,0.0,118.04484017571818,140,0.023280128837511276,0.05055691869240044,1
